,Id,MSZoning,LotArea,Street,Alley,LotShape,Utilities,LandSlope,Neighborhood,BldgType,YearBuilt,RoofStyle,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageCars,GarageArea,GarageQual,WoodDeckSF,PoolArea,PoolQC,Fence,MiscFeature,YrSold,SalePrice
1,1,RL,8450,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,2003,Gable,PConc,Gd,856,Ex,Y,856,854,1710,1,0,2,1,3,1,Gd,8,0,,Attchd,2,548,TA,0,0,,,,2008,208500
2,2,RL,9600,Pave,,Reg,AllPub,Gtl,Veenker,1Fam,1976,Gable,CBlock,Gd,1262,Ex,Y,1262,0,1262,0,1,2,0,3,1,TA,6,1,TA,Attchd,2,460,TA,298,0,,,,2007,181500
3,3,RL,11250,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,2001,Gable,PConc,Gd,920,Ex,Y,920,866,1786,1,0,2,1,3,1,Gd,6,1,TA,Attchd,2,608,TA,0,0,,,,2008,223500
4,4,RL,9550,Pave,,IR1,AllPub,Gtl,Crawfor,1Fam,1915,Gable,BrkTil,TA,756,Gd,Y,961,756,1717,1,0,1,0,3,1,Gd,7,1,Gd,Detchd,3,642,TA,0,0,,,,2006,140000
5,5,RL,14260,Pave,,IR1,AllPub,Gtl,NoRidge,1Fam,2000,Gable,PConc,Gd,1145,Ex,Y,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,TA,Attchd,3,836,TA,192,0,,,,2008,250000
6,6,RL,14115,Pave,,IR1,AllPub,Gtl,Mitchel,1Fam,1993,Gable,Wood,Gd,796,Ex,Y,796,566,1362,1,0,1,1,1,1,TA,5,0,,Attchd,2,480,TA,40,0,,MnPrv,Shed,2009,143000
7,7,RL,10084,Pave,,Reg,AllPub,Gtl,Somerst,1Fam,2004,Gable,PConc,Ex,1686,Ex,Y,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,2,636,TA,255,0,,,,2007,307000
8,8,RL,10382,Pave,,IR1,AllPub,Gtl,NWAmes,1Fam,1973,Gable,CBlock,Gd,1107,Ex,Y,1107,983,2090,1,0,2,1,3,1,TA,7,2,TA,Attchd,2,484,TA,235,0,,,Shed,2009,200000
9,9,RM,6120,Pave,,Reg,AllPub,Gtl,OldTown,1Fam,1931,Gable,BrkTil,TA,952,Gd,Y,1022,752,1774,0,0,2,0,2,2,TA,8,2,TA,Detchd,2,468,Fa,90,0,,,,2008,129900
10,10,RL,7420,Pave,,Reg,AllPub,Gtl,BrkSide,2fmCon,1939,Gable,BrkTil,TA,991,Ex,Y,1077,0,1077,1,0,1,0,2,2,TA,5,2,TA,Attchd,1,205,Gd,0,0,,,,2008,118000
11,11,RL,11200,Pave,,Reg,AllPub,Gtl,Sawyer,1Fam,1965,Hip,CBlock,TA,1040,Ex,Y,1040,0,1040,1,0,1,0,3,1,TA,5,0,,Detchd,1,384,TA,0,0,,,,2008,129500
12,12,RL,11924,Pave,,IR1,AllPub,Gtl,NridgHt,1Fam,2005,Hip,PConc,Ex,1175,Ex,Y,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,Gd,BuiltIn,3,736,TA,147,0,,,,2006,345000
13,13,RL,12968,Pave,,IR2,AllPub,Gtl,Sawyer,1Fam,1962,Hip,CBlock,TA,912,TA,Y,912,0,912,1,0,1,0,2,1,TA,4,0,,Detchd,1,352,TA,140,0,,,,2008,144000
14,14,RL,10652,Pave,,IR1,AllPub,Gtl,CollgCr,1Fam,2006,Gable,PConc,Gd,1494,Ex,Y,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,3,840,TA,160,0,,,,2007,279500
15,15,RL,10920,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1960,Hip,CBlock,TA,1253,TA,Y,1253,0,1253,1,0,1,1,2,1,TA,5,1,Fa,Attchd,1,352,TA,0,0,,GdWo,,2008,157000
16,16,RM,6120,Pave,,Reg,AllPub,Gtl,BrkSide,1Fam,1929,Gable,BrkTil,TA,832,Ex,Y,854,0,854,0,0,1,0,2,1,TA,5,0,,Detchd,2,576,TA,48,0,,GdPrv,,2007,132000
17,17,RL,11241,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1970,Gable,CBlock,TA,1004,Ex,Y,1004,0,1004,1,0,1,0,2,1,TA,5,1,TA,Attchd,2,480,TA,0,0,,,Shed,2010,149000
18,18,RL,10791,Pave,,Reg,AllPub,Gtl,Sawyer,Duplex,1967,Gable,Slab,,0,TA,Y,1296,0,1296,0,0,2,0,2,2,TA,6,0,,CarPort,2,516,TA,0,0,,,Shed,2006,90000
19,19,RL,13695,Pave,,Reg,AllPub,Gtl,SawyerW,1Fam,2004,Gable,PConc,TA,1114,Ex,Y,1114,0,1114,1,0,1,1,3,1,Gd,6,0,,Detchd,2,576,TA,0,0,,,,2008,159000
20,20,RL,7560,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1958,Hip,CBlock,TA,1029,TA,Y,1339,0,1339,0,0,1,0,3,1,TA,6,0,,Attchd,1,294,TA,0,0,,MnPrv,,2009,139000
21,21,RL,14215,Pave,,IR1,AllPub,Gtl,NridgHt,1Fam,2005,Gable,PConc,Ex,1158,Ex,Y,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,3,853,TA,240,0,,,,2006,325300
22,22,RM,7449,Pave,Grvl,Reg,AllPub,Gtl,IDOTRR,1Fam,1930,Gable,PConc,TA,637,Ex,Y,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Gd,Attchd,1,280,TA,0,0,,GdPrv,,2007,139400
23,23,RL,9742,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,2002,Hip,PConc,Gd,1777,Ex,Y,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,2,534,TA,171,0,,,,2008,230000
24,24,RM,4224,Pave,,Reg,AllPub,Gtl,MeadowV,TwnhsE,1976,Gable,PConc,Gd,1040,TA,Y,1060,0,1060,1,0,1,0,3,1,TA,6,1,TA,Attchd,2,572,TA,100,0,,,,2007,129900
25,25,RL,8246,Pave,,IR1,AllPub,Gtl,Sawyer,1Fam,1968,Gable,CBlock,TA,1060,Ex,Y,1060,0,1060,1,0,1,0,3,1,Gd,6,1,TA,Attchd,1,270,TA,406,0,,MnPrv,,2010,154000
26,26,RL,14230,Pave,,Reg,AllPub,Gtl,NridgHt,1Fam,2007,Gable,PConc,Gd,1566,Ex,Y,1600,0,1600,0,0,2,0,3,1,Gd,7,1,Gd,Attchd,3,890,TA,0,0,,,,2009,256300
27,27,RL,7200,Pave,,Reg,AllPub,Gtl,NAmes,1Fam,1951,Gable,CBlock,TA,900,TA,Y,900,0,900,0,1,1,0,3,1,Gd,5,0,,Detchd,2,576,TA,222,0,,,,2010,134800
28,28,RL,11478,Pave,,Reg,AllPub,Gtl,NridgHt,1Fam,2007,Gable,PConc,Ex,1704,Ex,Y,1704,0,1704,1,0,2,0,3,1,Gd,7,1,Gd,Attchd,3,772,TA,0,0,,,,2010,306000
29,29,RL,16321,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1957,Gable,CBlock,TA,1484,TA,Y,1600,0,1600,1,0,1,0,2,1,TA,6,2,Gd,Attchd,1,319,TA,288,0,,,,2006,207500
30,30,RM,6324,Pave,,IR1,AllPub,Gtl,BrkSide,1Fam,1927,Gable,BrkTil,TA,520,Fa,N,520,0,520,0,0,1,0,1,1,Fa,4,0,,Detchd,1,240,Fa,49,0,,,,2008,68500
31,31,C (all),8500,Pave,Pave,Reg,AllPub,Gtl,IDOTRR,1Fam,1920,Gambrel,BrkTil,TA,649,TA,N,649,668,1317,0,0,1,0,3,1,TA,6,0,,Detchd,1,250,TA,0,0,,MnPrv,,2008,40000
32,32,RL,8544,Pave,,IR1,AllPub,Gtl,Sawyer,1Fam,1966,Gable,CBlock,TA,1228,Gd,Y,1228,0,1228,0,0,1,1,3,1,Gd,6,0,,Attchd,1,271,TA,0,0,,MnPrv,,2008,149350
33,33,RL,11049,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,2007,Gable,PConc,Ex,1234,Ex,Y,1234,0,1234,0,0,2,0,3,1,Gd,7,0,,Attchd,2,484,TA,0,0,,,,2008,179900
34,34,RL,10552,Pave,,IR1,AllPub,Gtl,NAmes,1Fam,1959,Hip,CBlock,TA,1398,Gd,Y,1700,0,1700,0,1,1,1,4,1,Gd,6,1,Gd,Attchd,2,447,TA,0,0,,,,2010,165500
35,35,RL,7313,Pave,,Reg,AllPub,Gtl,NridgHt,TwnhsE,2005,Hip,PConc,Ex,1561,Ex,Y,1561,0,1561,1,0,2,0,2,1,Ex,6,1,Gd,Attchd,2,556,TA,203,0,,,,2007,277500
36,36,RL,13418,Pave,,Reg,AllPub,Gtl,NridgHt,1Fam,2004,Gable,PConc,Ex,1117,Ex,Y,1132,1320,2452,0,0,3,1,4,1,Gd,9,1,Gd,BuiltIn,3,691,TA,113,0,,,,2006,309000
37,37,RL,10859,Pave,,Reg,AllPub,Gtl,CollgCr,1Fam,1994,Gable,PConc,Gd,1097,Ex,Y,1097,0,1097,0,0,1,1,3,1,TA,6,0,,Attchd,2,672,TA,392,0,,,,2009,145000
